Имя переменной;Тип переменной;Энергонезависимость;Значение по умолчанию;Использование в проекте;Комментарий
rPumpHydrPressure;С плавающей запятой;Нет;0;Да;
iSetMaxPressure;Целочисленное;Да;90;Да;
iSetMinPressure;Целочисленное;Да;60;Да;
iHeatingTimeCooling;Целочисленное;Да;30;Да;
iHeatingTimeReady;Целочисленное;Да;45;Да;
wStateHydroPumpCmd;Целочисленное;Нет;0;Да;
AI_Pressure1;С плавающей запятой;Нет;0;Да;
Temp_xCmdResetAlarm;Булевское;Нет;0;Нет;
xCmdStart;Булевское;Нет;0;Нет;
xCmdStop;Булевское;Нет;0;Нет;
xAnyExtrudorAlm;Булевское;Нет;0;Да;
iExtrudorAlm;Целочисленное;Нет;0;Да;
DI_StartStop;Булевское;Нет;0;Нет;
DO_Light_Heating_Ready;Булевское;Нет;0;Да;
DO_Cmd_Heater_Start;Булевское;Нет;0;Да;
Temp_iAlmOilHeat;Целочисленное;Нет;0;Нет;
DO_NoMaterial;Булевское;Нет;0;Нет;
DI_Sn_Heater1_OK;Булевское;Нет;0;Да;
DI_Sn_Heater2_OK;Булевское;Нет;0;Да;
DI_Btn_Heater_Start;Булевское;Нет;0;Да;
DI_Sn_DoorOpen;Булевское;Нет;0;Да;
DI_Sn_HydroPump_LowMaterial;Булевское;Нет;0;Да;
DI_Btn_HydroPump_Start;Булевское;Нет;0;Да;
DI_Btn_HydroPump_Stop;Булевское;Нет;0;Да;
DI_Mode_HydroPump_Auto;Булевское;Нет;0;Да;
DI_Btn_HydroPump_Piston_Push;Булевское;Нет;0;Да;
DI_Btn_Conveyor_On;Булевское;Нет;0;Да;
DI_Btn_Extruder_Start;Булевское;Нет;0;Да;
DI_Mode_Extruder_DelayOn;Булевское;Нет;0;Да;
DI_Sn_Extruder_MatOnConv;Булевское;Нет;0;Да;
DO_Cmd_HydroPump_Piston_Push;Булевское;Нет;0;Да;
DO_Cmd_HydroPump_Piston_Pull;Булевское;Нет;0;Да;
DO_Cmd_HydroPump_Start;Булевское;Нет;0;Да;
DO_Light_Error;Булевское;Нет;0;Да;
DO_Cmd_Conveyor_Start;Булевское;Нет;0;Да;
DO_Light_NoMaterial;Булевское;Нет;0;Да;
DO_Cmd_Extruder_PensOn1;Булевское;Нет;0;Да;
DO_Cmd_Extruder_PensOn2;Булевское;Нет;0;Да;
DO_Cmd_Extruder_MaterialOut;Булевское;Нет;0;Да;
DO_BtnLight_Extruder_Work;Булевское;Нет;0;Да;
DO_Light_HeatOffWait;Булевское;Нет;0;Да;
iHeatHeatingTimeCountdown;Целочисленное;Нет;0;Да;
iHeatCoolingCountdown;Целочисленное;Нет;0;Да;
xHydroPumpAlarmNoMaterial;Булевское;Нет;0;Да;
iExtr_TimePens1_On;Целочисленное;Да;10;Нет;
iExtr_TimeMater_On;Целочисленное;Да;20;Нет;
iExtr_TimePens2_On;Целочисленное;Да;30;Нет;
iExtr_TimePens1_Off;Целочисленное;Да;10;Нет;
iExtr_TimeMater_Off;Целочисленное;Да;20;Нет;
iExtr_TimePens2_Off;Целочисленное;Да;30;Нет;
